Post,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
5967,discussion,t-policy,c-chat,,
6027,feature-request,t-policy,c-chat,,
6362,discussion,t-policy,c-chat,,
6556,discussion,t-policy,c-chat,,
6897,discussion,t-policy,c-chat,,
7048,feature-request,t-policy,c-chat,,
9002,discussion,t-policy,c-chat,,
350,feature-request,t-stack-exchange,c-comments,,
486,discussion,t-policy,c-comments,c-questions,
2619,discussion,t-policy,c-comments,,
3895,support,t-policy,c-comments,x-moderation,
4952,discussion,t-policy,c-comments,x-moderation,
5867,support,t-stack-exchange,c-comments,x-moderation,
5921,support,t-policy,c-comments,,
6711,discussion,t-policy,c-comments,,
6747,discussion,t-policy,c-comments,c-answers,x-moderation
6819,discussion,t-policy,c-comments,c-answers,
8419,support,t-stack-exchange,c-comments,s-formatting,
8874,discussion,t-policy,c-comments,c-questions,x-moderation
9055,support,t-policy,c-comments,x-moderation,
9265,support,t-policy,c-comments,x-moderation,
798,discussion,t-policy,c-comments,c-questions,
796,discussion,t-policy,c-comments,c-questions-ot,
5348,discussion,t-policy,c-comments,c-questions-ot,
6085,discussion,t-policy,c-comments,c-questions-ot,
6926,discussion,t-policy,c-comments,c-questions-ot,
669,support,t-policy,c-delete,c-flags,
932,discussion,t-policy,c-delete,c-scope,
1385,discussion,t-policy,c-delete,,
2027,support,t-stack-exchange,c-delete,,
5215,discussion,t-policy,c-delete,,
5845,discussion,t-policy,c-delete,,
5963,support,t-policy,c-delete,,
6289,discussion,t-policy,c-delete,,
8966,support,t-policy,c-delete,,
9165,support,t-policy,c-delete,,
9257,support,t-policy,c-delete,,
9444,support,t-policy,c-delete,,
343,support,t-stack-exchange,c-edits,,
514,bug,t-stack-exchange,c-edits,,
617,support,t-policy,c-edits,,
620,support,t-stack-exchange,c-edits,c-review-queues,
648,feature-request,t-stack-exchange,c-edits,c-community-wiki,
1076,support,t-stack-exchange,c-edits,,
2123,discussion,t-policy,c-edits,,
2198,support,t-policy,c-edits,,
2240,discussion,t-policy,c-edits,x-moderation,c-questions
2272,discussion,t-policy,c-edits,,
2425,feature-request,t-stack-exchange,c-edits,,
2432,support,t-policy,c-edits,,
2603,support,t-policy,c-edits,,
2604,feature-request,t-stack-exchange,c-edits,,
5183,support,t-policy,c-edits,,
5209,discussion,t-policy,c-edits,,
5633,discussion,t-policy,c-edits,c-questions-ot,
5943,support,t-policy,c-edits,,
6120,discussion,t-policy,c-edits,,
6240,support,t-stack-exchange,c-edits,,
6800,discussion,t-policy,c-edits,,
6862,support,t-stack-exchange,c-edits,,
6863,support,t-policy,c-edits,,
6997,support,t-stack-exchange,c-edits,,
7184,bug,t-stack-exchange,c-edits,,
7222,discussion,t-stack-exchange,c-edits,,
8558,discussion,t-policy,c-edits,,
8584,,t-policy,c-edits,,
8587,support,t-policy,c-edits,,
8637,support,t-policy,c-edits,,
8651,discussion,t-policy,c-edits,,
8861,bug,t-stack-exchange,c-edits,c-notification,
9212,support,t-policy,c-edits,,
9322,feature-request,t-stack-exchange,c-edits,,
9383,support,t-policy,c-edits,,
630,discussion,t-policy,c-edits,c-answer-invalidation,
752,discussion,t-policy,c-edits,c-answer-invalidation,
1033,support,t-policy,c-edits,c-answer-invalidation,
1410,discussion,t-policy,x-other,,
1763,discussion,t-policy,c-edits,c-answer-invalidation,c-iterative-review
1928,support,t-policy,c-edits,c-answer-invalidation,
2375,discussion,t-policy,c-edits,c-answer-invalidation,
3809,discussion,t-policy,c-edits,c-answer-invalidation,
3843,discussion,t-policy,c-edits,c-answer-invalidation,
5412,feature-request,t-stack-exchange,c-edits,c-answer-invalidation,c-help-center
5426,support,t-policy,c-edits,c-answer-invalidation,
5485,support,t-policy,c-edits,c-answer-invalidation,
6040,support,t-policy,c-edits,c-answer-invalidation,
6975,discussion,t-policy,c-edits,c-answer-invalidation,
7051,discussion,t-policy,c-edits,c-answer-invalidation,
7329,support,t-policy,c-edits,c-answer-invalidation,
8618,support,t-policy,c-edits,c-answer-invalidation,
9050,discussion,t-policy,c-edits,c-answer-invalidation,
9185,support,t-policy,c-edits,c-answer-invalidation,
9274,support,t-policy,c-edits,c-answer-invalidation,
9280,support,t-policy,c-edits,c-answer-invalidation,
9320,support,t-policy,c-edits,c-answer-invalidation,
9381,support,t-policy,c-edits,c-answer-invalidation,
722,support,t-policy,c-edits,c-answers,c-review-queues
786,discussion,t-policy,c-edits,c-answers,
6097,discussion,t-policy,c-edits,c-answers,
762,discussion,t-policy,c-edits,c-questions,
1413,discussion,t-policy,c-edits,c-questions,
2329,support,t-policy,c-edits,c-questions,
2523,discussion,t-policy,c-edits,c-questions,
5179,support,t-policy,c-edits,c-questions,
5761,discussion,t-policy,c-edits,c-questions,x-cross-site
5852,support,t-policy,c-edits,c-answer-invalidation,
6014,discussion,t-policy,c-edits,c-questions,
6841,discussion,t-policy,c-edits,c-questions,
6901,support,t-policy,c-edits,c-questions,
8893,support,t-policy,c-edits,c-answer-invalidation,
9112,support,t-policy,c-edits,c-answer-invalidation,
9411,support,t-policy,c-edits,c-questions,
3728,support,t-policy,c-edits,c-questions-ot,
5708,discussion,t-policy,c-edits,c-posts,x-moderation
6003,discussion,t-policy,c-edits,c-posts,
7176,support,t-stack-exchange,x-other,,
7291,discussion,t-policy,c-edits,c-posts,
8539,discussion,t-policy,c-edits,c-posts,x-moderation
8704,support,t-policy,c-edits,c-posts,
8741,support,t-policy,c-edits,c-questions,
8844,discussion,t-policy,c-edits,c-posts,c-site-policy
9433,support,t-stack-exchange,c-edits,c-posts,
406,support,t-stack-exchange,c-flags,,
677,discussion,t-policy,c-flags,,
776,support,t-stack-exchange,c-flags,,
1422,support,t-stack-exchange,c-flags,,
1656,support,t-stack-exchange,c-flags,,
1685,discussion,t-policy,c-flags,,
2049,discussion,t-policy,c-flags,,
2595,support,t-policy,c-flags,c-duplicates,
5181,support,t-stack-exchange,c-flags,,
7068,support,t-policy,c-flags,,
8470,support,t-policy,c-flags,,
8632,support,t-stack-exchange,c-flags,,
947,support,t-policy,c-protect,,
638,support,t-stack-exchange,c-review-queues,,
659,discussion,t-stack-exchange,c-review-queues,,
686,feature-request,t-stack-exchange,c-review-queues,,
1846,support,t-stack-exchange,c-review-queues,,
1946,support,t-policy,c-review-queues,,
2076,support,t-policy,c-review-queues,,
2247,bug,t-stack-exchange,c-review-queues,,
2413,discussion,t-policy,c-review-queues,,
3671,bug,t-stack-exchange,c-review-queues,,
3772,feature-request,t-stack-exchange,c-review-queues,,
3869,feature-request,t-stack-exchange,c-review-queues,c-notification,
5372,support,t-stack-exchange,c-review-queues,c-notification,
6105,discussion,t-stack-exchange,c-review-queues,s-audits,
6868,support,t-policy,c-review-queues,c-answers,
8582,support,t-stack-exchange,c-review-queues,,
8609,discussion,t-policy,c-review-queues,,
9047,discussion,t-policy,c-review-queues,c-flags,
9458,support,t-stack-exchange,c-review-queues,,
1859,discussion,t-scope,c-scope,,
2206,discussion,t-scope,c-scope,,
2363,support,t-policy,c-scope,,
5074,bug,t-stack-exchange,c-scope,,
5859,bug,t-stack-exchange,c-scope,,
6318,support,t-scope,c-scope,,
7077,support,t-scope,c-scope,,
8763,support,t-scope,c-scope,,
472,discussion,t-policy,c-votes,,
612,discussion,t-policy,c-votes,,
642,discussion,t-policy,c-votes,,
818,support,t-policy,c-votes,,
971,discussion,t-policy,c-votes,,
1428,discussion,t-policy,c-votes,,
1467,discussion,t-stack-exchange,c-votes,,
2018,support,t-stack-exchange,c-votes,,
2032,support,t-policy,c-votes,,
2274,discussion,t-policy,c-votes,,
2386,discussion,t-policy,c-votes,,
5315,support,t-policy,c-votes,,
5880,discussion,t-policy,c-votes,,
6615,discussion,t-policy,c-votes,,
6943,discussion,t-policy,c-votes,,
8971,support,t-policy,c-votes,,
5501,support,t-policy,c-privileges,,
5048,support,t-policy,c-privileges,,
6840,support,t-policy,c-privileges,,
226,,,c-tags,s-burnate,
232,,,c-tags,s-burnate,
358,,,c-tags,s-burnate,
571,,,c-tags,s-burnate,
849,,,c-tags,s-burnate,
877,,,c-tags,s-burnate,
988,,,c-tags,s-burnate,
1044,,,c-tags,s-burnate,
1079,,,c-tags,s-burnate,
1263,,,c-tags,s-burnate,
1286,,,c-tags,s-burnate,
1315,,,c-tags,s-burnate,
1453,,,c-tags,s-burnate,
1493,,,c-tags,s-burnate,
1500,,,c-tags,s-burnate,
1503,,,c-tags,s-burnate,
1505,,,c-tags,s-burnate,
1508,,,c-tags,s-burnate,
1555,,,c-tags,s-burnate,
1561,,,c-tags,s-burnate,
1695,,,c-tags,s-burnate,
1987,,,c-tags,s-burnate,
2024,,,c-tags,s-burnate,
2131,,,c-tags,s-burnate,
2139,,,c-tags,s-burnate,
2141,,,c-tags,s-burnate,
2462,,,c-tags,s-burnate,
3673,,,c-tags,s-burnate,
3714,,,c-tags,s-burnate,
3725,,,c-tags,s-burnate,
3738,,,c-tags,s-burnate,
3921,,,c-tags,s-burnate,
4969,,,c-tags,s-burnate,
5031,,,c-tags,s-burnate,
5137,,,c-tags,s-burnate,
5370,,,c-tags,s-burnate,
5434,,,c-tags,s-burnate,
5436,,,c-tags,s-burnate,
5451,,,c-tags,s-burnate,
5488,,,c-tags,s-burnate,
5516,,,c-tags,s-burnate,
5519,,,c-tags,s-burnate,
5566,,,c-tags,s-burnate,
5595,,,c-tags,s-burnate,
5630,,,c-tags,s-burnate,
5654,,,c-tags,s-burnate,
5664,,,c-tags,s-burnate,
5741,,,c-tags,s-burnate,
5751,,,c-tags,s-burnate,
5756,,,c-tags,s-burnate,
5994,,,c-tags,s-burnate,
6062,,,c-tags,s-burnate,
6125,,,c-tags,s-burnate,
6172,,,c-tags,s-burnate,
6545,,,c-tags,s-burnate,
6579,,,c-tags,s-burnate,
6700,,,c-tags,s-burnate,
6875,,,c-tags,s-burnate,
7014,,,c-tags,s-burnate,
7043,,,c-tags,s-burnate,
7321,,,c-tags,s-burnate,
8466,,,c-tags,s-burnate,
8489,,,c-tags,s-burnate,
9139,,,c-tags,s-burnate,
5580,,,c-tags,s-blacklist,
6166,,,c-tags,s-blacklist,
8428,,,c-tags,s-blacklist,
238,,,c-tags,s-create,
378,,,c-tags,s-create,
379,,,c-tags,s-create,
592,,,c-tags,s-create,
627,,,c-tags,s-create,
690,,,c-tags,s-create,
761,,,c-tags,s-create,
858,,,c-tags,s-create,
861,,,c-tags,s-create,
878,,,c-tags,s-create,
897,,,c-tags,s-create,
977,,,c-tags,s-create,
1374,,,c-tags,s-create,
1455,,,c-tags,s-create,
1530,,,c-tags,s-create,
1835,,,c-tags,s-create,
2005,,,c-tags,s-create,
2016,,,c-tags,s-create,
2020,,,c-tags,s-create,
2072,,,c-tags,s-create,
2244,,,c-tags,s-create,
2511,,,c-tags,s-create,
3668,,,c-tags,s-create,
3670,,,c-tags,s-create,
3691,,,c-tags,s-create,
3730,,,c-tags,s-create,
3734,,,c-tags,s-create,
3741,,,c-tags,s-create,
3788,,,c-tags,s-create,
4966,,,c-tags,s-create,
5056,,,c-tags,s-create,
5117,,,c-tags,s-create,
5141,,,c-tags,s-create,
5316,,,c-tags,s-create,
5342,,,c-tags,s-create,
5344,,,c-tags,s-create,
5739,,,c-tags,s-create,
5830,,,c-tags,s-create,
5834,,,c-tags,s-create,
5909,,,c-tags,s-create,
5987,,,c-tags,s-create,
6088,,,c-tags,s-create,
6133,,,c-tags,s-create,
6170,,,c-tags,s-create,
6588,,,c-tags,s-create,
6637,,,c-tags,s-create,
6811,,,c-tags,s-create,
6871,,,c-tags,s-create,
7172,,,c-tags,s-create,
7286,,,c-tags,s-create,
8564,,,c-tags,s-create,
8824,,,c-tags,s-create,
9019,,,c-tags,s-create,
9063,,,c-tags,s-create,
9088,,,c-tags,s-create,
9107,,,c-tags,s-create,
9169,,,c-tags,s-create,
9175,,,c-tags,s-create,
9195,,,c-tags,s-create,
9305,,,c-tags,s-create,
295,,,c-tags,s-synonym,
297,,,c-tags,s-synonym,
321,,,c-tags,s-synonym,
898,,,c-tags,s-synonym,
940,,,c-tags,s-synonym,
968,,,c-tags,s-synonym,
980,,,c-tags,s-synonym,
1048,,,c-tags,s-synonym,
1051,,,c-tags,s-synonym,
1059,,,c-tags,s-synonym,
1614,,,c-tags,s-synonym,
1715,,,c-tags,s-synonym,
1752,,,c-tags,s-synonym,
1854,,,c-tags,s-synonym,
1944,,,c-tags,s-synonym,
2040,,,c-tags,s-synonym,
2168,,,c-tags,s-synonym,
3692,,,c-tags,s-synonym,
5041,,,c-tags,s-synonym,
5280,,,c-tags,s-synonym,
5594,,,c-tags,s-synonym,
5645,,,c-tags,s-synonym,
5699,,,c-tags,s-synonym,
5742,,,c-tags,s-synonym,
5794,,,c-tags,s-synonym,
5805,,,c-tags,s-synonym,
6047,,,c-tags,s-synonym,
6093,,,c-tags,s-synonym,
6129,,,c-tags,s-synonym,
6137,,,c-tags,s-synonym,
6168,,,c-tags,s-synonym,
6592,,,c-tags,s-synonym,
7317,,,c-tags,s-synonym,
8407,,,c-tags,s-synonym,
8469,,,c-tags,s-synonym,
8739,,,c-tags,s-synonym,
8765,,,c-tags,s-synonym,
8820,,,c-tags,s-synonym,
8864,,,c-tags,s-synonym,
8969,,,c-tags,s-synonym,
9450,,,c-tags,s-synonym,
860,,,c-tags,s-merge,
1390,,,c-tags,s-merge,
1519,,,c-tags,s-merge,
822,,,c-tags,s-rename,
1418,,,c-tags,s-rename,
1658,,,c-tags,s-rename,
1914,,,c-tags,s-rename,
6033,,,c-tags,s-rename,
8417,,,c-tags,s-rename,
9205,,,c-tags,s-rename,
9318,,,c-tags,s-rename,
9418,,,c-tags,s-rename,
567,,,c-tags,s-wiki,
828,,,c-tags,s-wiki,
847,,,c-tags,s-wiki,
1412,,,c-tags,s-wiki,
3674,,,c-tags,s-wiki,
5514,,,c-tags,s-wiki,
5827,,,c-tags,s-wiki,
1819,,,c-tags,s-usage,
1985,,,c-tags,s-usage,
2219,,,c-tags,s-usage,
2252,,,c-tags,s-usage,
2581,,,c-tags,s-usage,
3833,,,c-tags,s-usage,
3892,,,c-tags,s-usage,
3917,,,c-tags,s-usage,
4979,,,c-tags,s-usage,
5060,,,c-tags,s-usage,
5282,,,c-tags,s-usage,
5560,,,c-tags,s-usage,
5840,,,c-tags,s-usage,
5937,,,c-tags,s-usage,
6044,,,c-tags,s-usage,
6205,,,c-tags,s-usage,
6582,,,c-tags,s-usage,
6631,,,c-tags,s-usage,
6642,,,c-tags,s-usage,
7007,,,c-tags,s-usage,
7022,,,c-tags,s-usage,
7024,,,c-tags,s-usage,
7089,,,c-tags,s-usage,
8951,,,c-tags,s-usage,
8991,,,c-tags,s-usage,
9031,,,c-tags,s-usage,
9327,,,c-tags,s-usage,
1694,,,c-tags,s-cleanup,
3753,,,c-tags,s-cleanup,
5071,,,c-tags,s-cleanup,
5600,,,c-tags,s-cleanup,
6846,,,c-tags,s-cleanup,
9082,,,c-tags,s-cleanup,
10474,,,c-tags,s-cleanup,
701,,,c-tags,,
2012,,,c-tags,,
2083,,,c-tags,,
2090,,,c-tags,,
2503,,,c-tags,,
3680,,,c-tags,,
6982,,,c-tags,,
7270,,,c-tags,,
8426,,,c-tags,,
8963,,,c-tags,,
9077,,,c-tags,,
439,,,c-tags,,
443,,,c-tags,,
1496,,,c-tags,,
3745,,,c-tags,,
5224,,,c-tags,,
5648,,,c-tags,,
7034,,,c-tags,,
749,,,c-comparative-review,,
1773,,,c-comparative-review,,
1942,,,c-comparative-review,,
2304,,,c-comparative-review,,
5160,,,c-comparative-review,,
5625,,,c-comparative-review,,
5863,,,c-comparative-review,,
6640,,,c-comparative-review,,
9353,,,c-comparative-review,,
546,,,c-insightful-observation,,
855,,,c-insightful-observation,,
1463,,,c-insightful-observation,,
7225,,,c-insightful-observation,,
9308,,,c-insightful-observation,,
185,,,c-iterative-review,,
187,,,c-iterative-review,,
590,,,c-iterative-review,,
651,,,c-iterative-review,,
845,,,c-iterative-review,,
1065,,,c-iterative-review,,
2215,,,c-iterative-review,,
3639,,,c-iterative-review,,
5072,,,c-iterative-review,,
5107,,,c-iterative-review,,
5177,,,c-iterative-review,,
5272,,,c-iterative-review,,
5509,,,c-iterative-review,,
5524,,,c-iterative-review,,
5895,,,c-iterative-review,,
5934,,,c-iterative-review,,
6050,,,c-iterative-review,,
6117,,,c-iterative-review,,
6813,,,c-iterative-review,,
6852,,,c-iterative-review,,
6999,,,c-iterative-review,,
7215,,,c-iterative-review,,
7252,,,c-iterative-review,,
8372,,,c-iterative-review,,
8412,,,c-iterative-review,,
8495,,,c-iterative-review,,
8503,,,c-iterative-review,,
8590,,,c-iterative-review,,
8899,,,c-iterative-review,,
8932,,,c-iterative-review,,
9098,,,c-iterative-review,,
9109,,,c-iterative-review,,
9263,,,c-iterative-review,,
87,,,c-migration,,
102,,,c-migration,,
275,,,c-migration,,
279,,,c-migration,,
282,,,c-migration,,
341,,,c-migration,,
415,,,c-migration,,
581,,,c-migration,,
624,,,c-migration,,
718,,,c-migration,,
902,,,c-migration,,
1205,,,c-migration,,
1277,,,c-migration,,
1601,,,c-migration,,
1661,,,c-migration,,
1687,,,c-migration,,
1964,,,c-migration,,
2259,,,c-migration,,
3763,,,c-migration,,
4929,,,c-migration,,
4948,,,c-migration,,
5190,,,c-migration,,
5798,,,c-migration,,
5860,,,c-migration,,
6144,,,c-migration,,
6141,,,c-migration,,
6149,,,c-migration,,
6157,,,c-migration,,
6310,,,c-migration,,
6719,,,c-migration,,
6791,,,c-migration,,
6971,,,c-migration,,
8858,,,c-migration,,
564,,,x-moderation,c-answers,
2282,,,x-moderation,s-moderators,
579,,,x-moderation,s-questions-ot,
808,,,x-moderation,s-questions-ot,
1446,,,x-moderation,s-questions-ot,
1640,,,x-moderation,s-questions-ot,
3646,,,x-moderation,s-questions-ot,
2201,,,x-moderation,,
9314,,,x-moderation,,
676,,,c-multi-language,,
1970,,,c-multi-language,,
2441,,,c-multi-language,,
6127,,,c-multi-language,,
8935,,,c-multi-language,,
402,,,c-site-policy,,
1669,,,c-site-policy,,
5464,,,c-site-policy,,
562,,,c-site-policy,,
636,,,c-site-policy,,
850,,,c-site-policy,,
1897,,,c-site-policy,,
2473,,,c-site-policy,,
3828,,,c-site-policy,,
5376,,,c-site-policy,,
5471,,,c-site-policy,,
5749,,,c-site-policy,,
5766,,,c-site-policy,,
6305,,,c-site-policy,,
6676,,,c-site-policy,,
6931,,,c-site-policy,,
7085,,,c-site-policy,,
7217,,,c-site-policy,,
8562,,,c-site-policy,,
8593,,,c-site-policy,,
8773,,,c-site-policy,,
9060,,,c-site-policy,,
9131,,,c-site-policy,,
9164,,,c-site-policy,,
9171,,,c-site-policy,,
9177,,,c-site-policy,,
9209,,,c-site-policy,,
9220,,,c-site-policy,,
9243,,,c-site-policy,,
9420,,,c-site-policy,,
